IPA vs Monte Carlo Validation
Generated : 2026-06-21 14:45:30
MC N      : 1000000
Networks  : 8

========================================================================
Network : munin-dag
========================================================================
IPA done  : 1.803 s  (pre-computed)
Running MC (N=1000000)...
MC done   : 582.917 s

Accuracy (all nodes)   — max |Δ| = 0.001335   mean |Δ| = 0.000282
Accuracy (sinks only)  — max |Δ| = 0.001173   mean |Δ| = 0.000368

Sink nodes — IPA vs MC:
  Node   IPA          MC           |Δ|       
  552    0.689785     0.689977     0.000192
  553    0.694632     0.694929     0.000297
  554    0.694632     0.694231     0.000401
  555    0.694632     0.694417     0.000215
  556    0.690599     0.690329     0.00027
  557    0.694632     0.695246     0.000614
  558    0.689752     0.69038      0.000628
  559    0.689752     0.689803     5.1e-5
  560    0.689752     0.690709     0.000957
  561    0.696916     0.695743     0.001173
  562    0.690457     0.689805     0.000652
  568    0.859874     0.859591     0.000283
  574    0.676782     0.677579     0.000797
  575    0.692228     0.691597     0.000631
  576    0.851868     0.852274     0.000406
  578    0.687259     0.687292     3.3e-5
  579    0.860121     0.860017     0.000104
  582    0.55668      0.555996     0.000684
  583    0.55668      0.556573     0.000107
  584    0.687508     0.687904     0.000396
  585    0.55668      0.555991     0.000689
  586    0.55668      0.556842     0.000162
  588    0.688813     0.68921      0.000397
  589    0.676782     0.676782     0.0
  590    0.676782     0.676354     0.000428
  591    0.676782     0.67666      0.000122
  592    0.691473     0.692001     0.000528
  593    0.676782     0.676826     4.4e-5
  594    0.685489     0.685068     0.000421
  595    0.685489     0.68502      0.000469
  596    0.685489     0.685679     0.00019
  597    0.691509     0.691345     0.000164
  598    0.687259     0.686951     0.000308
  600    0.68984      0.689525     0.000315
  605    0.668563     0.668899     0.000336
  611    0.86007      0.859617     0.000453
  617    0.69466      0.694252     0.000408
  618    0.692932     0.693318     0.000386
  619    0.85333      0.853551     0.000221
  621    0.690733     0.690774     4.1e-5
  622    0.860495     0.860762     0.000267
  625    0.559493     0.559862     0.000369
  626    0.559493     0.559591     9.8e-5
  627    0.689739     0.689975     0.000236
  628    0.559493     0.559437     5.6e-5
  629    0.559493     0.558662     0.000831
  631    0.68984      0.689748     9.2e-5
  632    0.69466      0.694807     0.000147
  633    0.69466      0.695386     0.000726
  634    0.69466      0.694705     4.5e-5
  635    0.692095     0.692261     0.000166
  636    0.69466      0.695464     0.000804
  637    0.69128      0.691367     8.7e-5
  638    0.69128      0.691018     0.000262
  639    0.69128      0.691402     0.000122
  640    0.697163     0.697153     1.0e-5
  641    0.690733     0.690293     0.00044
  846    0.847319     0.847573     0.000254
  847    0.665289     0.664862     0.000427
  850    0.675239     0.675972     0.000733
  851    0.672667     0.673635     0.000968
  869    0.697914     0.697959     4.5e-5
  870    0.688813     0.689042     0.000229
  873    0.687452     0.687007     0.000445
  878    0.685229     0.68434      0.000889
  974    0.691147     0.690675     0.000472
  976    0.692076     0.69139      0.000686
  989    0.852884     0.852172     0.000712
  990    0.853249     0.852956     0.000293
  991    0.691181     0.691001     0.00018
  995    0.689417     0.688924     0.000493
  996    0.560587     0.560709     0.000122
  997    0.690313     0.690607     0.000294
  1021   0.693129     0.693303     0.000174
  1022   0.565388     0.565151     0.000237
  1023   0.689785     0.690178     0.000393
  1027   0.684127     0.68505      0.000923
  1028   0.540932     0.541486     0.000554
  1035   0.691254     0.691575     0.000321

========================================================================
Network : metro_directed_dag_for_ipm
========================================================================
IPA done  : 0.018 s  (pre-computed)
Running MC (N=1000000)...
MC done   : 82.441 s

Accuracy (all nodes)   — max |Δ| = 0.001135   mean |Δ| = 0.000268
Accuracy (sinks only)  — max |Δ| = 0.001135   mean |Δ| = 0.00029

Sink nodes — IPA vs MC:
  Node   IPA          MC           |Δ|       
  --------------------------------------------
  1      0.025032     0.024817     0.000215
  36     0.047101     0.047048     5.3e-5
  50     0.05815      0.057958     0.000192
  56     0.07179      0.071857     6.7e-5
  63     0.047101     0.0471       1.0e-6
  64     0.06286      0.062869     9.0e-6
  91     0.030903     0.030943     4.0e-5
  93     0.256759     0.257012     0.000253
  101    0.2853       0.285593     0.000293
  105    0.320535     0.321111     0.000576
  112    0.259586     0.259741     0.000155
  114    0.050916     0.050981     6.5e-5
  121    0.146027     0.146776     0.000749
  126    0.033406     0.03353      0.000124
  128    0.095808     0.096477     0.000669
  129    0.008728     0.008771     4.3e-5
  146    0.038152     0.038458     0.000306
  152    0.031815     0.032019     0.000204
  155    0.016908     0.016921     1.3e-5
  156    0.05815      0.058033     0.000117
  161    0.030903     0.030885     1.8e-5
  163    0.385784     0.386257     0.000473
  171    0.444652     0.443517     0.001135
  173    0.313305     0.312956     0.000349
  175    0.077605     0.077683     7.8e-5
  179    0.219854     0.220204     0.00035
  182    0.413579     0.413036     0.000543
  186    0.46952      0.469634     0.000114
  192    0.482133     0.482265     0.000132
  193    0.315563     0.31508      0.000483
  194    0.031815     0.031836     2.1e-5
  205    0.456676     0.457546     0.00087
  206    0.338363     0.337993     0.00037
  208    0.277356     0.27724      0.000116
  213    0.308052     0.308231     0.000179
  214    0.20338      0.20365      0.00027
  218    0.109243     0.109026     0.000217
  224    0.025032     0.025176     0.000144
  226    0.106602     0.106282     0.00032
  234    0.52003      0.520184     0.000154
  238    0.729        0.72812      0.00088
  239    0.409549     0.409034     0.000515
  241    0.341192     0.341791     0.000599
  247    0.088629     0.088139     0.00049
  249    0.030903     0.030968     6.5e-5
  258    0.265346     0.265673     0.000327
  260    0.369573     0.369404     0.000169
  261    0.36911      0.36852      0.00059
  268    0.216691     0.21701      0.000319
  278    0.025032     0.024989     4.3e-5
  279    0.109419     0.109123     0.000296
  280    0.109419     0.109178     0.000241
  287    0.46952      0.470069     0.000549
  292    0.235834     0.236351     0.000517
  294    0.290206     0.290362     0.000156
  295    0.261688     0.261448     0.00024
  297    0.384974     0.385293     0.000319
  301    0.19784      0.197373     0.000467
  303    0.306639     0.306589     5.0e-5
  304    0.323632     0.323659     2.7e-5
  305    0.428173     0.427836     0.000337

========================================================================
Network : pareto-point-1-high-resilience-fw
========================================================================
IPA done  : 15.117 s  (pre-computed)
Running MC (N=1000000)...
MC done   : 69.383 s

Accuracy (all nodes)   — max |Δ| = 0.000943   mean |Δ| = 0.000244
Accuracy (sinks only)  — max |Δ| = 0.000943   mean |Δ| = 0.000314

Sink nodes — IPA vs MC:
  Node   IPA          MC           |Δ|       
  --------------------------------------------
  90     0.731387     0.730501     0.000886
  91     0.843407     0.843569     0.000162
  93     0.858632     0.858745     0.000113
  94     0.764224     0.764194     3.0e-5
  96     0.886374     0.886644     0.00027
  97     0.752187     0.752943     0.000756
  98     0.83901      0.838815     0.000195
  100    0.718875     0.719042     0.000167
  102    0.847778     0.847933     0.000155
  103    0.835606     0.835616     1.0e-5
  104    0.858327     0.858052     0.000275
  109    0.846522     0.847244     0.000722
  112    0.861538     0.861819     0.000281
  113    0.847502     0.847798     0.000296
  122    0.847636     0.847801     0.000165
  125    0.847486     0.848089     0.000603
  128    0.843191     0.843725     0.000534
  131    0.856737     0.856642     9.5e-5
  134    0.857562     0.85798      0.000418
  136    0.892088     0.891316     0.000772
  137    0.853684     0.853892     0.000208
  138    0.848872     0.848533     0.000339
  139    0.842367     0.842816     0.000449
  140    0.849505     0.849899     0.000394
  141    0.84159      0.84142      0.00017
  145    0.848129     0.847658     0.000471
  146    0.887984     0.888433     0.000449
  147    0.848818     0.848893     7.5e-5
  150    0.848697     0.847968     0.000729
  152    0.844004     0.844506     0.000502
  156    0.909625     0.91001      0.000385
  157    0.845051     0.845272     0.000221
  158    0.844102     0.843159     0.000943
  159    0.863318     0.863188     0.00013
  162    0.907607     0.907379     0.000228
  163    0.892635     0.892597     3.8e-5
  165    0.84911      0.848913     0.000197
  166    0.892575     0.892269     0.000306
  167    0.846237     0.846255     1.8e-5
  171    0.863338     0.863171     0.000167
  172    0.887786     0.887665     0.000121
  173    0.91735      0.91711      0.00024
  175    0.887558     0.887703     0.000145
  178    0.887762     0.887078     0.000684
  192    0.862713     0.862895     0.000182
  193    0.713861     0.714519     0.000658
  195    0.751055     0.751708     0.000653
  198    0.763458     0.763177     0.000281
  199    0.867723     0.868214     0.000491
  200    0.86402      0.864273     0.000253
  201    0.867311     0.866674     0.000637
  202    0.881616     0.881762     0.000146
  203    0.569855     0.569388     0.000467
  204    0.902204     0.901992     0.000212
  205    0.761649     0.761925     0.000276
  207    0.575134     0.575366     0.000232
  208    0.792623     0.792248     0.000375
  209    0.687357     0.687207     0.00015
  210    0.881262     0.881475     0.000213
  211    0.831527     0.83127      0.000257
  212    0.886974     0.887124     0.00015
  214    0.71919      0.719342     0.000152
  215    0.815426     0.815271     0.000155
  216    0.75608      0.755842     0.000238
  217    0.862545     0.861868     0.000677
  219    0.847449     0.846901     0.000548
  220    0.861424     0.86105      0.000374
  226    0.847232     0.847794     0.000562
  227    0.873054     0.873528     0.000474
  228    0.848131     0.848059     7.2e-5
  232    0.844918     0.844752     0.000166
  234    0.849048     0.84898      6.8e-5
  236    0.752376     0.752662     0.000286
  240    0.750767     0.751417     0.00065
  241    0.892572     0.892699     0.000127
  243    0.86282      0.863118     0.000298
  244    0.848931     0.848809     0.000122
  246    0.892541     0.892759     0.000218
  247    0.848434     0.848081     0.000353
  250    0.861639     0.861165     0.000474
  251    0.838487     0.838453     3.4e-5
  256    0.88566      0.885959     0.000299
  262    0.887884     0.887296     0.000588
  263    0.849656     0.84979      0.000134
  265    0.849865     0.849922     5.7e-5
  267    0.755773     0.754971     0.000802
  269    0.835149     0.83545      0.000301
  270    0.736719     0.736687     3.2e-5
  271    0.837586     0.837449     0.000137
  272    0.892479     0.892649     0.00017
  273    0.8925       0.893111     0.000611
  274    0.778738     0.778059     0.000679
  276    0.754579     0.75472      0.000141
  283    0.729012     0.728909     0.000103
  284    0.907295     0.907141     0.000154
  286    0.793643     0.793322     0.000321
  287    0.849854     0.849823     3.1e-5
  288    0.889098     0.889048     5.0e-5
  289    0.888695     0.889005     0.00031

========================================================================
Network : pareto-point-2-high-resilience-vtol
========================================================================
IPA done  : 0.068 s  (pre-computed)
Running MC (N=1000000)...
MC done   : 71.555 s

Accuracy (all nodes)   — max |Δ| = 0.001286   mean |Δ| = 0.000237
Accuracy (sinks only)  — max |Δ| = 0.001286   mean |Δ| = 0.000261

Sink nodes — IPA vs MC:
  Node   IPA          MC           |Δ|       
  --------------------------------------------
  65     0.842288     0.842265     2.3e-5
  69     0.838966     0.839253     0.000287
  80     0.840131     0.840258     0.000127
  91     0.843407     0.843655     0.000248
  93     0.858632     0.858255     0.000377
  96     0.839573     0.83989      0.000317
  98     0.83901      0.838813     0.000197
  99     0.831733     0.832111     0.000378
  102    0.847778     0.848254     0.000476
  103    0.835606     0.835315     0.000291
  104    0.858327     0.858393     6.6e-5
  105    0.849583     0.849853     0.00027
  106    0.828173     0.827954     0.000219
  107    0.849304     0.849042     0.000262
  108    0.842776     0.842623     0.000153
  109    0.846522     0.846006     0.000516
  112    0.861538     0.861712     0.000174
  113    0.847502     0.848089     0.000587
  116    0.838782     0.839185     0.000403
  119    0.83455      0.834897     0.000347
  122    0.847636     0.847599     3.7e-5
  123    0.847258     0.847408     0.00015
  125    0.847486     0.847383     0.000103
  127    0.84678      0.846863     8.3e-5
  128    0.718321     0.718333     1.2e-5
  129    0.814045     0.813771     0.000274
  131    0.729861     0.729341     0.00052
  132    0.788606     0.788974     0.000368
  134    0.888548     0.8889       0.000352
  136    0.876926     0.876547     0.000379
  137    0.879366     0.879235     0.000131
  138    0.627445     0.626988     0.000457
  139    0.622637     0.622334     0.000303
  140    0.627913     0.627046     0.000867
  141    0.622063     0.621905     0.000158
  145    0.888598     0.888573     2.5e-5
  146    0.88305      0.882977     7.3e-5
  147    0.89389      0.893714     0.000176
  150    0.885658     0.886258     0.0006
  152    0.798099     0.798047     5.2e-5
  153    0.818803     0.818979     0.000176
  154    0.88401      0.883939     7.1e-5
  155    0.8058       0.805741     5.9e-5
  156    0.897991     0.897777     0.000214
  157    0.888762     0.8889       0.000138
  158    0.801896     0.801691     0.000205
  159    0.820146     0.820006     0.00014
  160    0.885101     0.885235     0.000134
  162    0.908844     0.908454     0.00039
  163    0.893859     0.893539     0.00032
  164    0.805596     0.805903     0.000307
  165    0.88566      0.885315     0.000345
  166    0.893902     0.893603     0.000299
  167    0.888515     0.888679     0.000164
  168    0.805219     0.805286     6.7e-5
  170    0.805533     0.805511     2.2e-5
  171    0.908825     0.909119     0.000294
  172    0.801407     0.801238     0.000169
  173    0.877014     0.877116     0.000102
  174    0.862225     0.862717     0.000492
  175    0.848725     0.848926     0.000201
  177    0.831033     0.831382     0.000349
  178    0.849677     0.850205     0.000528
  190    0.86227      0.862406     0.000136
  191    0.834151     0.83474      0.000589
  192    0.862713     0.862095     0.000618
  196    0.809612     0.809413     0.000199
  200    0.874544     0.87441      0.000134
  201    0.680654     0.680823     0.000169
  202    0.88735      0.887696     0.000346
  203    0.903839     0.90373      0.000109
  204    0.895764     0.895883     0.000119
  205    0.834295     0.834312     1.7e-5
  206    0.817376     0.816909     0.000467
  207    0.887525     0.887924     0.000399
  208    0.829859     0.829646     0.000213
  209    0.88573      0.885562     0.000168
  210    0.877874     0.878002     0.000128
  211    0.893225     0.893353     0.000128
  212    0.880522     0.880434     8.8e-5
  215    0.893155     0.893236     8.1e-5
  217    0.815632     0.815902     0.00027
  219    0.863847     0.864355     0.000508
  220    0.900021     0.899891     0.00013
  221    0.816057     0.816045     1.2e-5
  225    0.814351     0.814165     0.000186
  226    0.885183     0.885458     0.000275
  227    0.914601     0.914743     0.000142
  228    0.885257     0.885738     0.000481
  231    0.885197     0.885306     0.000109
  232    0.884884     0.884594     0.00029
  234    0.806596     0.806437     0.000159
  236    0.80475      0.804864     0.000114
  240    0.892816     0.892878     6.2e-5
  241    0.884686     0.884583     0.000103
  242    0.89368      0.893595     8.5e-5
  243    0.899378     0.899319     5.9e-5
  244    0.792017     0.79201      7.0e-6
  246    0.88462      0.88466      4.0e-5
  247    0.893686     0.893833     0.000147
  250    0.899376     0.899293     8.3e-5
  251    0.864384     0.864416     3.2e-5
  255    0.888715     0.888435     0.00028
  256    0.874483     0.87428      0.000203
  257    0.628289     0.628013     0.000276
  258    0.865919     0.866028     0.000109
  261    0.77171      0.771811     0.000101
  262    0.863657     0.86374      8.3e-5
  263    0.772425     0.772414     1.1e-5
  265    0.772615     0.772401     0.000214
  266    0.771456     0.771773     0.000317
  267    0.86366      0.863225     0.000435
  269    0.875047     0.874917     0.00013
  270    0.879908     0.880206     0.000298
  271    0.77778      0.777552     0.000228
  272    0.883003     0.884027     0.001024
  273    0.883021     0.884307     0.001286
  274    0.748411     0.74938      0.000969
  275    0.715495     0.715928     0.000433
  276    0.725194     0.725904     0.00071
  277    0.715719     0.716319     0.0006
  280    0.724043     0.724699     0.000656
  281    0.893063     0.893238     0.000175
  282    0.775351     0.775744     0.000393
  283    0.728542     0.729043     0.000501
  284    0.907576     0.907731     0.000155
  285    0.771727     0.771553     0.000174
  286    0.814564     0.814536     2.8e-5
  287    0.772605     0.771845     0.00076
  288    0.849649     0.849752     0.000103
  289    0.882159     0.882251     9.2e-5

========================================================================
Network : pareto-point-3-medium-resilience-sparse
========================================================================
IPA done  : 10.167 s  (pre-computed)
Running MC (N=1000000)...
MC done   : 43.958 s

Accuracy (all nodes)   — max |Δ| = 0.000855   mean |Δ| = 0.000215
Accuracy (sinks only)  — max |Δ| = 0.000855   mean |Δ| = 0.00029

Sink nodes — IPA vs MC:
  Node   IPA          MC           |Δ|       
  --------------------------------------------
  90     0.731374     0.731306     6.8e-5
  91     0.843407     0.843779     0.000372
  93     0.858632     0.858843     0.000211
  96     0.709736     0.709755     1.9e-5
  97     0.706418     0.706948     0.00053
  102    0.847778     0.847437     0.000341
  109    0.846522     0.846475     4.7e-5
  113    0.847502     0.847647     0.000145
  122    0.847636     0.847067     0.000569
  128    0.843191     0.84381      0.000619
  134    0.857562     0.857352     0.00021
  136    0.849521     0.849675     0.000154
  137    0.853684     0.853613     7.1e-5
  138    0.848872     0.848511     0.000361
  140    0.849505     0.849546     4.1e-5
  145    0.848129     0.84781      0.000319
  146    0.767405     0.76826      0.000855
  156    0.861051     0.860579     0.000472
  159    0.863318     0.86401      0.000692
  162    0.907607     0.907589     1.8e-5
  163    0.892635     0.892799     0.000164
  165    0.84911      0.848544     0.000566
  167    0.846237     0.846166     7.1e-5
  172    0.76675      0.766425     0.000325
  173    0.777478     0.777485     7.0e-6
  175    0.848725     0.848874     0.000149
  178    0.887759     0.887739     2.0e-5
  195    0.751039     0.75108      4.1e-5
  198    0.763445     0.763214     0.000231
  199    0.867708     0.867712     4.0e-6
  200    0.720146     0.720681     0.000535
  201    0.86738      0.867412     3.2e-5
  202    0.767298     0.76738      8.2e-5
  204    0.902203     0.902378     0.000175
  205    0.761639     0.761102     0.000537
  212    0.846712     0.846459     0.000253
  214    0.719178     0.719627     0.000449
  216    0.756068     0.756238     0.00017
  217    0.862545     0.863139     0.000594
  219    0.847449     0.847073     0.000376
  226    0.847232     0.847852     0.00062
  228    0.848131     0.848361     0.00023
  234    0.849048     0.848344     0.000704
  236    0.752376     0.752063     0.000313
  240    0.750767     0.750261     0.000506
  241    0.849354     0.849443     8.9e-5
  243    0.86282      0.862936     0.000116
  244    0.848931     0.848962     3.1e-5
  246    0.847583     0.847946     0.000363
  265    0.849865     0.850122     0.000257
  267    0.75521      0.755625     0.000415
  272    0.892479     0.892285     0.000194
  273    0.848047     0.848217     0.00017
  284    0.862846     0.863549     0.000703
  286    0.793052     0.793401     0.000349
  287    0.849854     0.849905     5.1e-5
  288    0.889097     0.888993     0.000104
  289    0.868328     0.867647     0.000681

========================================================================
Network : pareto-point-4-low-resilience-minimal
========================================================================
IPA done  : 0.0 s  (pre-computed)
Running MC (N=1000000)...
MC done   : 8.32 s

Accuracy (all nodes)   — max |Δ| = 0.000602   mean |Δ| = 0.000227
Accuracy (sinks only)  — max |Δ| = 0.000602   mean |Δ| = 0.000286

Sink nodes — IPA vs MC:
  Node   IPA          MC           |Δ|       
  --------------------------------------------
  91     0.843407     0.843953     0.000546
  93     0.858632     0.858448     0.000184
  102    0.847778     0.847875     9.7e-5
  109    0.846522     0.846376     0.000146
  113    0.847502     0.847538     3.6e-5
  122    0.847636     0.847728     9.2e-5
  128    0.843191     0.842877     0.000314
  134    0.857562     0.85722      0.000342
  138    0.848872     0.849426     0.000554
  140    0.849505     0.84956      5.5e-5
  162    0.862551     0.863108     0.000557
  163    0.848132     0.848379     0.000247
  175    0.848725     0.848272     0.000453
  178    0.849677     0.849754     7.7e-5
  204    0.862668     0.862522     0.000146
  212    0.846712     0.84673      1.8e-5
  217    0.764346     0.764426     8.0e-5
  219    0.750969     0.751473     0.000504
  226    0.671012     0.671237     0.000225
  228    0.671724     0.67215      0.000426
  244    0.750789     0.751391     0.000602
  246    0.749598     0.750196     0.000598
  272    0.739285     0.739161     0.000124
  273    0.740476     0.740905     0.000429

========================================================================
Network : pareto-point-5-medium-resilience-fw
========================================================================
IPA done  : 9.446 s  (pre-computed)
Running MC (N=1000000)...
MC done   : 42.788 s

Accuracy (all nodes)   — max |Δ| = 0.000789   mean |Δ| = 0.000223
Accuracy (sinks only)  — max |Δ| = 0.000789   mean |Δ| = 0.000328

Sink nodes — IPA vs MC:
  Node   IPA          MC           |Δ|       
  --------------------------------------------
  90     0.731374     0.731488     0.000114
  93     0.858632     0.85798      0.000652
  94     0.717722     0.717237     0.000485
  96     0.709736     0.709219     0.000517
  97     0.706418     0.705924     0.000494
  100    0.718863     0.718743     0.00012
  102    0.847778     0.847534     0.000244
  122    0.847636     0.84802      0.000384
  134    0.857562     0.858052     0.00049
  136    0.849521     0.849107     0.000414
  140    0.849505     0.849423     8.2e-5
  145    0.848129     0.847697     0.000432
  146    0.767405     0.767342     6.3e-5
  156    0.77827      0.778208     6.2e-5
  162    0.907607     0.907791     0.000184
  165    0.84911      0.849243     0.000133
  172    0.76675      0.767036     0.000286
  173    0.777478     0.777014     0.000464
  175    0.751006     0.751006     0.0
  178    0.887759     0.888061     0.000302
  193    0.713845     0.71438      0.000535
  195    0.751039     0.75149      0.000451
  198    0.763445     0.763845     0.0004
  199    0.867708     0.867817     0.000109
  200    0.864101     0.864        0.000101
  201    0.86738      0.867568     0.000188
  202    0.881687     0.881875     0.000188
  204    0.902203     0.902147     5.6e-5
  205    0.761639     0.761695     5.6e-5
  208    0.74871      0.749499     0.000789
  212    0.746229     0.745668     0.000561
  214    0.719178     0.718549     0.000629
  216    0.756068     0.755707     0.000361
  217    0.862545     0.862156     0.000389
  228    0.848131     0.848331     0.0002
  234    0.849048     0.848877     0.000171
  236    0.752376     0.751958     0.000418
  240    0.750767     0.751275     0.000508
  241    0.849354     0.849413     5.9e-5
  244    0.848931     0.849577     0.000646
  256    0.750474     0.750723     0.000249
  262    0.755056     0.755695     0.000639
  265    0.849865     0.850153     0.000288
  267    0.75521      0.755955     0.000745
  273    0.848047     0.847954     9.3e-5
  284    0.862846     0.862687     0.000159
  286    0.793052     0.793531     0.000479
  288    0.889097     0.889142     4.5e-5
  289    0.868328     0.868988     0.00066

========================================================================
Network : pareto-point-6-balanced
========================================================================
IPA done  : 0.807 s  (pre-computed)
Running MC (N=1000000)...
MC done   : 49.871 s

Accuracy (all nodes)   — max |Δ| = 0.001529   mean |Δ| = 0.00031
Accuracy (sinks only)  — max |Δ| = 0.001529   mean |Δ| = 0.000374

Sink nodes — IPA vs MC:
  Node   IPA          MC           |Δ|       
  --------------------------------------------
  81     0.89         0.889988     1.2e-5
  82     0.89         0.889653     0.000347
  91     0.843407     0.844089     0.000682
  93     0.858632     0.858774     0.000142
  96     0.839573     0.83961      3.7e-5
  102    0.847778     0.847875     9.7e-5
  104    0.858327     0.859176     0.000849
  109    0.846522     0.846555     3.3e-5
  113    0.847502     0.847525     2.3e-5
  122    0.847636     0.847827     0.000191
  125    0.847486     0.847837     0.000351
  128    0.718321     0.718023     0.000298
  131    0.729861     0.729169     0.000692
  134    0.730564     0.73024      0.000324
  136    0.806794     0.806318     0.000476
  137    0.810747     0.810582     0.000165
  138    0.627445     0.626608     0.000837
  139    0.622637     0.621449     0.001188
  140    0.627913     0.627284     0.000629
  145    0.804701     0.805575     0.000874
  146    0.802477     0.801817     0.00066
  147    0.806372     0.80645      7.8e-5
  156    0.816962     0.816311     0.000651
  157    0.802798     0.803213     0.000415
  159    0.820146     0.820625     0.000479
  162    0.899107     0.899049     5.8e-5
  163    0.884265     0.884359     9.4e-5
  165    0.806649     0.806537     0.000112
  166    0.785391     0.785138     0.000253
  167    0.803925     0.804253     0.000328
  171    0.820167     0.820466     0.000299
  173    0.877014     0.877408     0.000394
  175    0.848725     0.849026     0.000301
  178    0.849677     0.849923     0.000246
  204    0.862668     0.862644     2.4e-5
  210    0.835908     0.836172     0.000264
  212    0.846712     0.846819     0.000107
  217    0.815632     0.815051     0.000581
  219    0.801357     0.801595     0.000238
  220    0.818353     0.818341     1.2e-5
  226    0.80487      0.804779     9.1e-5
  227    0.825569     0.825401     0.000168
  228    0.805724     0.806064     0.00034
  234    0.806596     0.806402     0.000194
  241    0.8067       0.807513     0.000813
  243    0.81949      0.819654     0.000164
  244    0.792017     0.79247      0.000453
  246    0.88462      0.88452      0.0001
  250    0.803873     0.804178     0.000305
  251    0.796315     0.796355     4.0e-5
  263    0.772425     0.772669     0.000244
  265    0.772615     0.772002     0.000613
